name,sequence,file,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,channel,type,probability,loop,masterslave,loadspec,subtitle

null,,null.wav,,,,,,,,,,,,,

#PUBG Sounds
pubg_Para_Wind,,misc/wind_whistle.wav,0.67,0.67,,,100,800,auto,,,looping,,all_mp
pubg_Parachute_land_player,,misc/para_land_player.wav,1.5,1.5,,,200,500,,,,,,all_mp
pubg_c47,3,vehicles/c47_flyby01.wav,0.67,1.67,,,100,1600,auto,,,looping,,all_mp
pubg_open_para,,pubg/chute_deploy.wav,1.5,,,,,,,,local,,,,,all_mp



weap_greaser_fire,1,weapons/greasegun/greasegun_02.wav,1.25,1.5,0.9,1.05,7,7800,weapon,,,,,
weap_greaser_fire,2,weapons/greasegun/greasegun_02.wav,1.25,1.5,0.9,1.05,7,7800,weapon,,,,,
weap_greaser_reload,,weapons/mp40/mp40_reload.wav,1.25,1.5,,,7,500,,,auto

weap_shotgun_fire,1,weapons/shotgun/shotgun_fire1.wav,1.25,1.5,0.9,1.05,7,7800,weapon,,,,,
weap_shotgun_fire,2,weapons/shotgun/shotgun_fire2.wav,1.25,1.5,0.9,1.05,7,7800,weapon,,,,,

weap_ppsh42_fire,,weapons/ppsh42/wpnfire_ppsh_plyr_blnc_ed3.wav,1.25,1.5,0.9,1.05,7,7800,weapon,,,,,

weap_ppsh42_reload,,weapons/ppsh42/ppsh42_rld.wav,1.25,1.5,,,7,500,,,auto
weap_ppsh42_reload_not_empty,,weapons/ppsh42/ppsh42_rld_not_empty.wav,1.25,1.5,,,7,500,,,auto

weap_enfield_sniper_fire,,weapons/enfield_sniper/wpnfire_enfield_sniper2.wav,1.25,1.5,0.9,1.05,7,7800,weapon,,,,,

weap_m1903a3_fire,,weapons/m1903a3/wpnfire_m1903a3_01.wav,2.5,2.75,0.9,1.05,7,7800,weapon,,,,,

